feature,abs_coef,coef
property_type_house,0.42623145132926116,-0.42623145132926116
price_per_m2,0.41687014477982764,0.41687014477982764
size_m2,0.37509843332976966,0.37509843332976966
market_wtórny,0.21961722039854725,-0.21961722039854725
market_pierwotny,0.14017102032224718,0.14017102032224718
building_material_beton komórkowy,0.1073517337933388,-0.1073517337933388
property_type_blockOfFlats,0.10406078673573421,0.10406078673573421
property_type_unknown,0.09989193806085574,0.09989193806085574
property_type_tenement,0.08290521339009096,0.08290521339009096
property_type_apartmentBuilding,0.0667454084987896,0.0667454084987896
district_Krowodrza,0.06599116261582756,-0.06599116261582756
condition_do zamieszkania,0.06194677372551016,0.06194677372551016
market_primary,0.05586547069857663,0.05586547069857663
district_Grzegórzki,0.055472219265366406,-0.055472219265366406
heating_elektryczne,0.0516904361431196,-0.0516904361431196
heating_kotłownia,0.051534386138132555,-0.051534386138132555
district_Stare Miasto,0.05019819972242645,-0.05019819972242645
property_type_Housing Block,0.04986746114262292,0.04986746114262292
district_Łagiewniki-Borek Fałęcki,0.04495861865125366,0.04495861865125366
building_material_drewno,0.042595837796069826,0.042595837796069826
district_Kazimierz,0.04134156823518619,0.04134156823518619
heating_gazowe,0.04102606064813971,0.04102606064813971
condition_do wykończenia,0.037893597318385666,0.037893597318385666
condition_premium,0.03455152439876873,-0.03455152439876873
heating_miejskie,0.033199223754257996,0.033199223754257996
condition_unknown,0.031118756143944343,-0.031118756143944343
property_type_studio,0.030677757616449225,-0.030677757616449225
market_aftermarket,0.030076888610791684,0.030076888610791684
heating_pompa ciepła,0.029493025943773926,0.029493025943773926
building_material_brick,0.028295075123273446,0.028295075123273446
property_type_Other,0.027324251356276634,0.027324251356276634
district_Zwierzyniec,0.026334703473734934,0.026334703473734934
district_unknown,0.025930799989034505,0.025930799989034505
building_material_concreteSlab,0.025760916527563852,0.025760916527563852
building_material_unknown,0.025390208426551514,0.025390208426551514
district_Prądnik Czerwony,0.02517149494811875,0.02517149494811875
district_Mistrzejowice,0.024944094352862864,0.024944094352862864
building_material_inny,0.02431069480667391,-0.02431069480667391
condition_low,0.02335509529431602,-0.02335509529431602
building_material_pustak,0.02270739069085821,0.02270739069085821
district_Bieżanów-Prokocim,0.022325098623360955,0.022325098623360955
building_material_cegła,0.019533590777670487,-0.019533590777670487
district_Dębniki,0.018522277161656883,-0.018522277161656883
property_type_apartment,0.0173635029533908,0.0173635029533908
district_Bronowice,0.017153995408371283,-0.017153995408371283
amenities_count,0.017040143829637033,0.017040143829637033
district_Wzgórza Krzesławickie,0.014503997550597534,-0.014503997550597534
condition_do remontu,0.010814995206734927,-0.010814995206734927
heating_inne,0.009126038837668785,-0.009126038837668785
property_type_Tenement,0.008787648230888458,0.008787648230888458
heating_unknown,0.008632550771694624,0.008632550771694624
district_Bieńczyce,0.007280939078066335,0.007280939078066335
distance_to_center_km,0.006721770253238781,-0.006721770253238781
market_unknown,0.0064961592318121125,-0.0064961592318121125
building_material_wielka płyta,0.006446590814141694,0.006446590814141694
building_age,0.006337608806806835,-0.006337608806806835
district_Czyżyny,0.006291997759982002,-0.006291997759982002
district_Prądnik Biały,0.005337331282296689,0.005337331282296689
district_Swoszowice,0.004701046419710198,0.004701046419710198
floor_ratio,0.0024243465467995297,0.0024243465467995297
district_Podgórze Duchackie,0.0013617375834989976,-0.0013617375834989976
district_Podgórze,0.0011698920148946186,0.0011698920148946186
property_type_Apartment Building,3.700142157033808e-05,-3.700142157033808e-05
