district,count,median_price,median_ppm2
unknown,5288,588126.7703291924,11626.99355121577
Kazimierz,5,759000.0,11300.81300813008
Bronowice,23,485502.43364736426,9624.706582718494
Łagiewniki-Borek Fałęcki,14,476729.5049962329,9330.141038597143
Bieńczyce,39,254717.2034585953,8731.041002658141
Wzgórza Krzesławickie,27,226469.13825098184,8671.716168576682
Prądnik Czerwony,100,269366.265593349,7457.603308531305
Prądnik Biały,303,305172.3250082827,7414.395612810787
Podgórze Duchackie,138,257474.0111298664,7150.720869608319
Bieżanów-Prokocim,88,243139.56793490774,7123.287650850717
Dębniki,147,320868.1648415295,6896.129876548671
Stare Miasto,67,222304.7002802816,6835.214225272714
Podgórze,366,297843.33301184303,6786.515098727485
Krowodrza,122,301812.4611987955,6562.430841612963
Mistrzejowice,70,287873.6817298248,6370.386795089124
Grzegórzki,104,224565.73159277934,6311.220630011616
Swoszowice,40,460207.1798619848,5784.429013049794
Czyżyny,104,283646.1901832676,5662.7781808206955
Zwierzyniec,86,330850.7438473728,4640.64788435278
